,commodity,level,mode,node_dest,node_loc,technology,time,time_dest,unit,value,year_act,year_vtg
239,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2020,2020
240,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2030,2030
241,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2040,2040
242,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2050,2050
243,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,1990,1990
244,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,1995,1995
245,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,2000,2000
246,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,2005,2005
247,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,2010,2010
248,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,2020,2020
249,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,2030,2030
250,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,2040,2040
251,i_spec,useful,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.0,2050,2050
252,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,1990,1990
253,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,1995,1995
254,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,2000,2000
255,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,2005,2005
256,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,2010,2010
257,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,2020,2020
258,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,2030,2030
259,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,2040,2040
260,i_therm,useful,M1,South Africa,South Africa,coal_i,year,year,GWa,1.0,2050,2050
261,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,1990,1990
262,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,1995,1995
263,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,2000,2000
264,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,2005,2005
265,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,2010,2010
266,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,2020,2020
267,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,2030,2030
268,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,2040,2040
269,i_therm,useful,M1,South Africa,South Africa,foil_i,year,year,GWa,1.0,2050,2050
270,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,1990,1990
271,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,1995,1995
272,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,2000,2000
273,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,2005,2005
274,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,2010,2010
275,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,2020,2020
276,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,2030,2030
277,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,2040,2040
278,i_therm,useful,M1,South Africa,South Africa,loil_i,year,year,GWa,1.0,2050,2050
279,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,1990,1990
280,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,1995,1995
281,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,2000,2000
282,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,2005,2005
283,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,2010,2010
284,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,2020,2020
285,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,2030,2030
286,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,2040,2040
287,i_therm,useful,M1,South Africa,South Africa,gas_i,year,year,GWa,1.0,2050,2050
288,i_therm,useful,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.0,1995,1995
289,i_therm,useful,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.0,2000,2000
290,i_therm,useful,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.0,2005,2005
291,i_therm,useful,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.0,2010,2010
