scenario,year,iso,name,gini_r,gini_u,i_r,i_u,n_orig,n_orig.1,n_r,n_u
SSP2,2020,ZAF,Mpumalanga,0.6403028649,0.6860573141040001,5219.67573034,9975.6375139,1268086.0,3019832.0,1240085.30139,3009535.2300400008
SSP2,2020,ZAF,North West,0.7144455668109999,0.6918981530930001,8442.03267057,8554.26354124,1372955.0,2270895.0,1342638.68142,2263151.89263
SSP2,2020,ZAF,Northern Cape,0.510232185706,0.6676722292239999,7715.95546114,8082.22274185,643087.0,604116.0,628886.9494779999,602056.135914
SSP2,2020,ZAF,Western Cape,0.568280668351,0.6687291013600001,8822.06781226,10763.3175497,727875.0,4409719.0,711802.739523,4394683.10988
SSP2,2030,ZAF,Eastern Cape,0.629980062921,0.699602619289,6218.42156956,9975.79926745,4795615.0,3606750.0,4670699.79408,3595198.38212
SSP2,2030,ZAF,Free State,0.684858626935,0.6903825345929999,10156.4600391,9606.52962628,808314.0,3484550.0,787259.201031,3473389.7615300007
SSP2,2030,ZAF,Gauteng,0.693425326119,0.701728446655,22352.5039887,16124.3101729,212125.0,11766662.0,206599.611065,11728975.9993
SSP2,2030,ZAF,KwaZulu-Natal,0.6786771669320001,0.6585361759699999,6846.80838529,11774.4400606,4879529.0,7709474.0,4752428.01925,7684782.26985
SSP2,2030,ZAF,Limpopo,0.635072521218,0.667214632447,6813.00988031,12311.29072,2790026.0,3809981.0,2717351.96918,3797778.47843
SSP2,2030,ZAF,Mpumalanga,0.645307462179,0.6902572527069999,7756.08068346,12042.532235600003,1110541.0,3437228.0,1081613.85349,3426219.32337
SSP2,2030,ZAF,North West,0.699065008697,0.6933708782539999,10922.4941412,10533.4622505,1222157.0,2657928.0,1190322.50259,2649415.24791
SSP2,2030,ZAF,Northern Cape,0.526754247063,0.6727962628120001,10257.8945991,9990.57136646,623319.0,701549.0,607082.913234,699302.094621
SSP2,2030,ZAF,Western Cape,0.5809740358259999,0.6662758106800001,11346.3946261,13514.4215778,688410.0,4861673.0,670478.436081,4846102.14292
SSP2,2040,ZAF,Eastern Cape,0.6322749363019999,0.698804365552,9153.56441962,12939.877286799998,4587294.0,4086281.0,4451938.1765,4073019.12966
SSP2,2040,ZAF,Free State,0.678632181497,0.691671788176,13406.5708547,12587.8834584,780319.0,3751479.0,757294.3757140002,3739303.71688
SSP2,2040,ZAF,Gauteng,0.6855975608,0.713959774149,25591.491389500006,19458.5567188,204088.0,12595656.0,198066.040364,12554777.2751
SSP2,2040,ZAF,KwaZulu-Natal,0.6701490525770001,0.636420441523,9670.21135557,14479.6466063,4502112.0,8594062.0,4369269.61465,8566170.29703
SSP2,2040,ZAF,Limpopo,0.638087212336,0.674683361353,10047.3227746,15189.9355915,2330416.0,4437016.0,2261653.15707,4422615.8325
SSP2,2040,ZAF,Mpumalanga,0.647864895431,0.691038764947,11032.688785,14975.1346932,992429.0,3721479.0,963145.713478,3709401.08075
SSP2,2040,ZAF,North West,0.68826084152,0.69224317558,14121.513186200002,13516.0151496,1119448.0,2921613.0,1086416.80429,2912131.01558
SSP2,2040,ZAF,Northern Cape,0.5423193911909999,0.6727210851540001,13524.723198500002,13121.0827727,588112.0,786200.0,570758.766466,783648.417655
SSP2,2040,ZAF,Western Cape,0.592401916471,0.674425271655,14595.918430000002,16369.216910799998,649624.0,5220879.0,630455.751467,5203934.8348
SSP2,2050,ZAF,Eastern Cape,0.627776745927,0.697811556628,12985.1998839,16058.396178100002,4219799.0,4597450.0,4083368.02412,4580571.18988
SSP2,2050,ZAF,Free State,0.673017543732,0.691346947015,17674.350552400007,15721.253484399998,746943.0,3960277.0,722793.4700310002,3945737.46972
SSP2,2050,ZAF,Gauteng,0.679871735641,0.702299750691,29872.4759983,22304.3093497,181603.0,13262820.0,175731.565244,13214127.6552
SSP2,2050,ZAF,KwaZulu-Natal,0.657428635347,0.645993363485,13501.625150100002,17473.2688711,4088036.0,9325747.0,3955865.07411,9291508.99571
SSP2,2050,ZAF,Limpopo,0.637844506802,0.678409978209,14172.530690600002,18286.262404400004,2019784.0,4813750.0,1954482.05027,4796077.07866
SSP2,2050,ZAF,Mpumalanga,0.6486717636930001,0.689979386835,15308.583868000003,18096.7337305,907888.0,3902808.0,878534.932276,3888479.45805
SSP2,2050,ZAF,North West,0.67906249576,0.6900277362639999,18331.614695,16667.4748701,1054859.0,3092352.0,1020754.19008,3080998.919
SSP2,2050,ZAF,Northern Cape,0.556576102531,0.671900634348,17823.2938556,16339.7239402,555681.0,848936.0,537715.191414,845819.265822
SSP2,2050,ZAF,Western Cape,0.60207651358,0.678585050956,18871.5929226,19447.1261575,625174.0,5487621.0,604961.402454,5467474.067919998
SSP2,2060,ZAF,Eastern Cape,0.623163425657,0.690940365517,16199.8032622,19877.9023187,3838069.0,5012308.0,3698014.74513,4993289.9505
SSP2,2060,ZAF,Free State,0.667813279271,0.686073581297,21357.6194502,19574.3544596,711157.0,4110990.0,685206.303509,4095391.7942800005
SSP2,2060,ZAF,Gauteng,0.6760512377560001,0.6923304666060001,33570.0430839,25798.7999171,178547.0,13737459.0,172031.674964,13685335.3725
SSP2,2060,ZAF,KwaZulu-Natal,0.648391684521,0.656719204316,16858.7383776,21120.7936482,3717756.0,9844872.0,3582092.06421,9807517.89826
SSP2,2060,ZAF,Limpopo,0.635632925015,0.676668394944,17758.5400656,22090.082736,1753983.0,5061281.0,1689978.73585,5042077.133719998
SSP2,2060,ZAF,Mpumalanga,0.647909245136,0.685018584209,18983.3189984,21938.3184891,853919.0,3992948.0,822758.8021859998,3977797.67749
SSP2,2060,ZAF,North West,0.67358618536,0.684886486306,21997.7637128,20544.0249939,966790.0,3238422.0,931511.047729,3226134.5528
SSP2,2060,ZAF,Northern Cape,0.569632748231,0.670594561413,21458.2141148,20299.5763749,529323.0,888388.0,510007.573844,885017.21613
SSP2,2060,ZAF,Western Cape,0.610293332764,0.67698645507,22515.8521069,23222.9447069,581101.0,5699567.0,559896.1525729999,5677941.30435
SSP2,2070,ZAF,Eastern Cape,0.635235626568,0.686503616691,20164.615836,24165.7836283,3440125.0,5303501.0,3304856.49187,5281056.59086
SSP2,2070,ZAF,Free State,0.664788802552,0.680774561143,25683.6285703,23912.1864162,662133.0,4199166.0,636097.392836,4181395.1351
SSP2,2070,ZAF,Gauteng,0.672638573329,0.68803367412,37933.514047,29753.3854149,172597.0,13994585.0,165810.345824,13935359.935
SSP2,2070,ZAF,KwaZulu-Natal,0.620415094589,0.65788251743,20720.5509845,25219.3770494,3357973.0,10139703.0,3225934.77521,10096791.7905
SSP2,2070,ZAF,Limpopo,0.6377939198979999,0.675583896487,21966.9400867,26373.8936358,1542385.0,5145383.0,1481737.1695,5123607.74602
SSP2,2070,ZAF,Mpumalanga,0.648779724773,0.6809810596439999,23305.303270400003,26267.6254783,782991.0,4022996.0,752203.1581479999,4005970.68631
SSP2,2070,ZAF,North West,0.668389935696,0.680553127644,26282.8575358,24909.2251589,883516.0,3310762.0,848775.433529,3296750.85964
SSP2,2070,ZAF,Northern Cape,0.581815873949,0.669502454184,25815.5229134,24759.338120400003,480283.0,926659.0,461397.882485,922737.380351
SSP2,2070,ZAF,Western Cape,0.617779892319,0.675711079975,26855.985653,27475.610970700003,545461.0,5808084.0,524013.030605,5783504.196280002
SSP2,2080,ZAF,Eastern Cape,0.6277522502480001,0.687814850484,24755.4593268,29049.559203400004,3063423.0,5420451.0,2934771.0463,5395534.5843199985
SSP2,2080,ZAF,Free State,0.661666084735,0.681833727204,30748.8271959,28496.7146274,611729.0,4202882.0,586038.7407760001,4183562.43509
SSP2,2080,ZAF,Gauteng,0.669879016475,0.692873524666,43046.249513699986,33565.781703500004,157949.0,14007706.0,151315.75103800002,13943316.1872
SSP2,2080,ZAF,KwaZulu-Natal,0.617967151697,0.652951702053,25303.7444027,30660.0772572,2961602.0,10233971.0,2837226.135690001,10186928.074
SSP2,2080,ZAF,Limpopo,0.637107196935,0.6786321506890001,26920.4254613,31239.009265599994,1347944.0,5093207.0,1291335.54956,5069794.84062
SSP2,2080,ZAF,Mpumalanga,0.6486137487020001,0.681019041046,28363.6675935,30779.2005024,728959.0,3951204.0,698345.532805,3933041.33396
SSP2,2080,ZAF,North West,0.662779732049,0.637799295371,31296.764041400005,29400.9705826,792475.0,3311563.0,759194.105718,3296340.59872
SSP2,2080,ZAF,Northern Cape,0.592444557351,0.665799690774,30914.7160526,28637.7835242,443257.0,926578.0,424641.915162,922318.759836
SSP2,2080,ZAF,Western Cape,0.623683813895,0.678451727124,31936.4379298,32615.1790241,505443.0,5812798.0,484216.342946,5786078.066319998
SSP2,2090,ZAF,Eastern Cape,0.609807843186,0.674482093351,30946.2016105,34095.0981788,2713878.0,5429901.0,2596458.73582,5401977.723669998
SSP2,2090,ZAF,Free State,0.6845217039579999,0.6729124796029999,38033.2058325,33509.9319098,558594.0,4145682.0,534425.744663,4124362.82234
SSP2,2090,ZAF,Gauteng,0.6856984601039999,0.682035275821,47568.6649495,38484.9288602,143379.0,13808001.0,137175.531502,13736993.3283
SSP2,2090,ZAF,KwaZulu-Natal,0.6046132890820001,0.684118653917,30761.3193194,35814.6059101,2582133.0,10168003.0,2470413.84502,10115714.025
SSP2,2090,ZAF,Limpopo,0.64419249524,0.668702270836,31353.1958208,36260.2458179,1179697.0,4961563.0,1128655.96068,4936048.15273
SSP2,2090,ZAF,Mpumalanga,0.661716051958,0.669697756775,33144.0860922,35764.887954300015,662122.0,3844707.0,633474.4786149999,3824935.58686
SSP2,2090,ZAF,North West,0.673935005362,0.63638987568,35930.7712836,34131.8558023,710260.0,3254010.0,679529.728934,3237276.24732
SSP2,2090,ZAF,Northern Cape,0.6083877541170001,0.664454626896,35406.3715361,32664.9404309,409190.0,910430.0,391485.892184,905748.111974
SSP2,2090,ZAF,Western Cape,0.638399261069,0.664587313786,36550.8132429,37647.6638538,462992.0,5731840.0,442960.082588,5702364.001780001
SSP2,2100,ZAF,Eastern Cape,0.603535443006,0.6727731995039999,36863.6349716,39417.3380957,2369215.0,5368714.0,2260167.65344,5340382.61294
SSP2,2100,ZAF,Free State,0.6747803215970001,0.6718016504530001,44541.4240697,38854.9813016,518772.0,4020282.0,494894.59332,3999066.46022
SSP2,2100,ZAF,Gauteng,0.6791660147669999,0.6749538065199999,54190.14327459999,43312.291757199986,133613.0,13415108.0,127463.223337,13344314.7677
SSP2,2100,ZAF,KwaZulu-Natal,0.600542187225,0.679018618871,36716.4296939,41984.9139139,2266473.0,9917475.0,2162154.53726,9865139.22223
SSP2,2100,ZAF,Limpopo,0.640759196514,0.668065791533,37725.21255490001,41097.7865148,1009363.0,4790144.0,962905.267433,4764865.80047
SSP2,2100,ZAF,Mpumalanga,0.657489249192,0.6688787707399999,39654.0630611,41076.19229940001,591862.0,3702420.0,564620.495692,3682881.85845
SSP2,2100,ZAF,North West,0.665980144963,0.6421876629959999,42401.578309300014,39577.8263641,648774.0,3133159.0,618913.0193729999,3116624.9212
SSP2,2100,ZAF,Northern Cape,0.615137900357,0.664656718958,41988.0465744,38325.5236952,371957.0,884681.0,354837.015582,880012.4257700002
SSP2,2100,ZAF,Western Cape,0.639960800443,0.664826512492,43107.3696251,43138.1060705,418964.0,5574493.0,399680.434556,5545075.69097
SSP3,2010,ZAF,Eastern Cape,0.5916738971859999,0.7055499399099999,2365.15735586,5519.52277326,2666471.33682,2666471.33682,2666471.33682,2666471.33682
SSP3,2010,ZAF,Free State,0.7071532414820001,0.689595934347,5937.68743354,5164.84660664,2561743.32359,2561743.32359,2561743.32359,2561743.32359
SSP3,2010,ZAF,Gauteng,0.728510058443,0.670919889801,18131.2357363,9671.67037465,9592585.21169,9592585.21169,9592585.21169,9592585.21169
SSP3,2010,ZAF,KwaZulu-Natal,0.650143761066,0.6780478079410001,3041.30455735,6496.30376369,5622651.71023,5622651.71023,5622651.71023,5622651.71023
SSP3,2010,ZAF,Limpopo,0.6135485853729999,0.648952304195,2792.31802799,7737.51791152,1954945.24694,1954945.24694,1954945.24694,1954945.24694
SSP3,2010,ZAF,Mpumalanga,0.6349624587380001,0.684548309168,3536.95299725,7577.54315138,2280259.28803,2280259.28803,2280259.28803,2280259.28803
SSP3,2010,ZAF,North West,0.7543054855589999,0.6946874951500001,6792.26151784,6119.43902289,2021985.25541,2021985.25541,2021985.25541,2021985.25541
SSP3,2010,ZAF,Northern Cape,0.49308619505,0.6669965833470001,6083.05380878,5589.80226773,508157.064188,508157.064188,508157.064188,508157.064188
SSP3,2010,ZAF,Western Cape,0.555503229066,0.65899914494,7185.53078369,8410.74169379,3982951.50311,3982951.50311,3982951.50311,3982951.50311
SSP3,2020,ZAF,Eastern Cape,0.63637439486,0.702888627191,3960.6176155,8136.62880164,5083874.0,2879190.0,4976873.14511,2873186.99226
SSP3,2020,ZAF,Free State,0.697349744412,0.691471698909,7309.39661665,7785.16708563,922528.0,2909952.0,903111.451782,2903884.85459
SSP3,2020,ZAF,Gauteng,0.70290331391,0.696662883206,19428.9446708,11991.9527504,235421.0,10272303.0,230466.06833600003,10250885.6172
SSP3,2020,ZAF,KwaZulu-Natal,0.681128638567,0.685751730784,4764.11847868,8970.57789615,5625170.0,6113187.0,5506776.4287,6100441.22466
SSP3,2020,ZAF,Limpopo,0.648161826976,0.65869459194,4347.19298076,10345.5421523,3833750.0,2514069.0,3753060.64235,2508827.25643
SSP3,2020,ZAF,Mpumalanga,0.650560482368,0.687788078731,4960.89944076,10174.4635875,1443202.0,2833172.0,1412826.76887,2827264.93813
SSP3,2020,ZAF,North West,0.7217132481890001,0.6932716693719999,8900.55563069,8759.58905628,1486253.0,2130823.0,1454971.66974,2126380.31057
SSP3,2020,ZAF,Northern Cape,0.510035377032,0.668010604547,7481.16837489,8302.99077435,683386.0,558586.0,669002.699742,557421.3682520001
SSP3,2020,ZAF,Western Cape,0.568121985707,0.671084177582,8566.31853797,10948.0621038,749601.0,4228611.0,733824.065358,4219794.49794
SSP3,2030,ZAF,Eastern Cape,0.650885702339,0.7009987906380001,5726.28907074,10503.6533905,5422038.0,3130621.0,5276032.90073,3123170.33342
SSP3,2030,ZAF,Free State,0.691920299206,0.694423434554,8812.53701554,10153.340449299998,923166.0,3104981.0,898306.9076299998,3097591.35489
SSP3,2030,ZAF,Gauteng,0.6941827587720001,0.7153621370100001,20897.1022259,14487.420671899998,252201.0,10826334.0,245409.710075,10800568.0561
SSP3,2030,ZAF,KwaZulu-Natal,0.709049041409,0.6726094332250001,6994.23586411,11172.3109081,5767228.0,6680494.0,5611927.59512,6664594.87539
SSP3,2030,ZAF,Limpopo,0.661334789856,0.670307244238,5899.89183666,12696.9815339,3588994.0,3012955.0,3492349.2650800007,3005784.37055
