scenario,iso,year,pop,gdp,urbanization,gini,gdppc,hh_gdp,income,k_i,k_t,n_u,n_r,i_r,i_u,g_u,g_r,T,T_emp,T_b,T_w,T_w_emp,t_r,t_r_emp,t_u,t_u_emp,gini_r,gini_u,gini_r_emp,gini_u_emp
SSP2,ZAF,2095,59823000.0,3893449212390.0,0.85841,0.667387323333,65082.814509300006,2297754584990.0,38409.2169398,1.09054192712,1.20596656455,51352661.43,8470338.57,35639.259039599994,38866.1062341,1995877994540.0,301876590450.0,0.938698897597,0.803483672173,0.00043787218850500003,0.938261025408,0.803045799985,0.7958737292470001,0.6811783056980001,0.959797107076,0.821478261169,0.627670072832,0.6727619981919999,0.622330020334,0.673529503568
SSP2,ZAF,2100,58484000.0,4083937631330.0,0.8641399999999999,0.665829972222,69829.99848380001,2410173063850.0,41210.810885900006,1.0701086138299998,1.2095744804100002,50538363.76,7945636.24,38856.7281726,41580.9195227,2101431636310.0,308741427536.0,0.9326702285189999,0.798975012412,0.00026074820804,0.932409480311,0.7987142642039999,0.788354861981,0.675315177306,0.953573922559,0.8168440047040001,0.625401956902,0.671188748554,0.62001309445,0.671958792862
SSP3,ZAF,2010,50133000.0,522418981248.0,0.6221800000000001,0.6938,10420.6606676,308310329470.0,6149.84799374,2.0696348251299996,1.06903856043,31191749.94,18941250.06,3692.48157968,7642.08846846,238370112527.0,69940216942.7,1.0469957871,0.8833861186799998,0.052239137651500005,0.994756649451,0.831146981029,0.944349933101,0.789030760804,1.00954649302,0.843504308665,0.66883834474,0.684988490245,0.662368621585,0.6808914462469999
SSP3,ZAF,2015,52248000.0,625730649419.0,0.6271800000000001,0.69579035,11976.164626799999,369280653281.0,7067.84285104,1.98504586697,1.06631615352,32768900.64,19479099.36,4368.79601322,8672.26046971,284180441656.0,85100211625.2,1.05564899621,0.889684019137,0.046568912009800005,1.0090800842,0.843115107127,0.960083482885,0.8021770533370001,1.02375252653,0.855374349954,0.6728341547650001,0.6883694499549999,0.666936765365,0.6847892812019999
SSP3,ZAF,2020,54009000.0,766577485536.0,0.63634,0.697682786111,14193.5137761,452402699009.0,8376.43168747,1.90045690882,1.0635937466,34368087.06,19640912.94,5325.14240153,10120.2036674,347812040707.0,104590658302.0,1.0639446897799998,0.895710040997,0.0406664451563,1.0232782446200002,0.855043595841,0.975580593784,0.815187797968,1.0376214188600001,0.867028644227,0.6767076726360001,0.691624687101,0.671395586022,0.6885698660490001
SSP3,ZAF,2025,55564000.0,905135524804.0,0.64461,0.6990736488889999,16289.963372,534173990387.0,9613.67054905,1.81586795066,1.06087133969,35817110.04,19746889.96,6300.25933205,11440.4390019,409763462638.0,124410527749.0,1.07008453952,0.900162729236,0.0350270350704,1.0350575044499999,0.865135694165,0.988882388396,0.826540987197,1.04907698417,0.8768536443970001,0.679984317986,0.694280238521,0.6752367176790001,0.691721868261
SSP3,ZAF,2030,57007000.0,1027541040540.0,0.6521,0.7007424422220001,18024.8222242,606412722591.0,10637.5133333,1.7312789925099998,1.05814893278,37174264.7,19832735.3,7202.75631449,12469.9806954,463562363176.0,142850359416.0,1.07749972877,0.905532046964,0.029644479774700003,1.04785524899,0.8758875671899999,1.0032593593299999,0.8386104858939999,1.06159782037,0.8873747906649999,0.683476878488,0.697148958072,0.679270360586,0.695062048318
SSP3,ZAF,2035,58268000.0,1135458912370.0,0.65887,0.702948245389,19486.8351817,670101439529.0,11500.333622700002,1.64669003435,1.0554265258700002,38391037.16,19876962.84,8064.27130283,13279.355188700001,509808218509.0,160293221018.0,1.08738311277,0.912674600193,0.0245257306303,1.06285738214,0.888148869562,1.0198521634200002,0.8522126874979999,1.0763790257299999,0.899447876064,0.687445921036,0.700490992823,0.6837557601350001,0.6988507803149999
SSP3,ZAF,2040,59423000.0,1235969005160.0,0.66501,0.7053374595919999,20799.505329,729418388066.0,12275.0178898,1.5621010762,1.05270411895,39516889.23,19906110.77,8935.065179700001,13957.4749331,551555990861.0,177862397204.0,1.09819512479,0.920470079412,0.0196880649279,1.07850705986,0.9007820144840001,1.03717294555,0.8662592671179999,1.09183623184,0.911914698576,0.691520117318,0.703935282873,0.688321687126,0.702714330431
SSP3,ZAF,2045,60506000.0,1328700489820.0,0.6705800000000001,0.7077761116339999,21959.8137345,784144720020.0,12959.7844845,1.47751211804,1.04998171204,40574113.48,19931886.52,9816.45627386,14503.933100799999,588484227540.0,195660492479.0,1.10934723869,0.928491015575,0.0151659046858,1.0941813340100002,0.913325110889,1.05462221174,0.880304679446,1.10733403544,0.9243038144410001,0.695555053505,0.7073377949070001,0.69282146168,0.706505527833
