Model,Scenario,Region,Variable,Unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Solar,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102184,0.00115782,0.00129574,0.00143976,0.00148774,0.0014957,0.00162968,0.00420724,0.004991,0.00553494,0.00600882,0.00650478,0.00793781,0.01630026,0.02517323
History,IEA Energy Statistics (2017),South Africa,Primary Energy,EJ/yr,3.48908972,3.59279142,3.84392233,3.94666551,4.19704735,4.35145812,4.42204916,4.6079586,4.69004117,4.92507953,5.34154753,5.5426894,5.55640454,6.00870627,6.04041454,6.20133967,6.41608348,6.70276494,6.59933907,6.54082794,6.68175761,6.31324742,6.59616887,6.81271827,7.19162687,7.46640591,7.69750961,7.64617171,7.62150398,7.66180298,7.75859024,7.82873961,8.30931494,8.90166727,8.93141158,8.958422,9.55410431,10.04603637,10.00491562,9.70479017,9.80855002,9.71613806,9.85382749,10.11215379,9.96594275
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Wind,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-05,8.64E-05,8.64E-05,8.64E-05,8.64E-05,0.00015121,0.00021602,0.00024482,0.00026642,0.00026642,0.00026642,0.00619256,0.01634547
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Solids|Biomass,EJ/yr,0.03199385,0.03199385,0.03099404,0.03399347,0.04499135,0.04899058,0.04899058,0.04899058,0.04899058,0.04299174,0.05498943,0.05298982,0.04299174,0.05998847,0.04799078,0.04899058,0.05199001,0.05598924,0.05698905,0.05798885,0.05898866,0.06098828,0.06198809,0.06298789,0.0639877,0.06421165,0.06401471,0.06398071,0.0661133,0.06625925,0.06772099,0.06927567,0.07021749,0.07114931,0.07210314,0.07309194,0.07411875,0.07518454,0.07629133,0.0774401,0.07863187,0.07985467,0.0811254,0.08244617,0.08381689
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Solids|Coal,EJ/yr,0.38672333,0.3987103,0.45875123,0.46355714,0.49230428,0.55626763,0.57742504,0.57145139,0.59181771,0.64108775,0.68217898,0.59495592,0.53814943,0.54646537,0.56368534,0.55705952,0.57035298,0.60122213,0.60301375,0.58051699,0.54217569,0.48087441,0.4481575,0.46362282,0.53728698,0.58179878,0.61800362,0.64478734,0.59145943,0.60098142,0.53512248,0.5628268,0.58842506,0.62045973,0.58919977,0.54408245,0.4756348,0.48002353,0.65955422,0.54750047,0.45046518,0.4490392,0.50850846,0.53090207,0.5301533
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Electricity,EJ/yr,0.11712548,0.1194479,0.12802824,0.13711988,0.1505647,0.16318497,0.17054109,0.18470244,0.20256526,0.2117289,0.21808045,0.21572562,0.22097897,0.24528694,0.25693864,0.26718608,0.27549278,0.28624792,0.29291992,0.29648096,0.29680141,0.26214158,0.27259066,0.27250064,0.29041747,0.32371266,0.32931527,0.36678361,0.35888739,0.34905402,0.37389129,0.40696684,0.38423955,0.40644115,0.3961577,0.40876356,0.42438678,0.42161428,0.4106431,0.4334244,0.44655236,0.43870295,0.4378568,0.43593765,0.43770197
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Fossil,EJ/yr,0.4723197,0.49161871,0.55765182,0.5559969,0.57957787,0.64007581,0.68094902,0.67498544,0.71278003,0.76663599,0.81614817,0.73389744,0.6798971,0.69118445,0.70300538,0.69088778,0.70268923,0.74586451,0.74741572,0.73140994,0.68849054,0.61609311,0.52951543,0.54978046,0.61752679,0.6751701,0.71219935,0.73608456,0.67569146,0.67852444,0.61009028,0.6411259,0.67866568,0.71370918,0.68474368,0.63914124,0.65903406,0.6900029,0.86357738,0.76931295,0.71948646,0.7145535,0.76997626,0.79606296,0.83438156
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Gases,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03435579,0.07258588,0.07223231,0.07134697,0.07107524,0.07287293
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Geothermal,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
