,lvl,mode,mrg,node_loc,technology,time,year_act,year_vtg
337,0.0,M1,15.246326,South Africa,gas_ppl,year,2020,1995
338,0.0,M1,0.0,South Africa,gas_ppl,year,2000,2000
339,0.0,M1,0.0,South Africa,gas_ppl,year,2005,2000
340,0.0,M1,0.0,South Africa,gas_ppl,year,2010,2000
341,0.0,M1,15.246326,South Africa,gas_ppl,year,2020,2000
342,0.0,M1,32.608692,South Africa,gas_ppl,year,2030,2000
343,0.0,M1,0.0,South Africa,gas_ppl,year,2005,2005
344,0.0,M1,0.0,South Africa,gas_ppl,year,2010,2005
345,0.0,M1,0.0,South Africa,gas_ppl,year,2020,2005
346,0.0,M1,0.0,South Africa,gas_ppl,year,2030,2005
347,0.0,M1,0.0,South Africa,gas_ppl,year,2010,2010
348,0.0,M1,0.0,South Africa,gas_ppl,year,2020,2010
349,0.0,M1,0.0,South Africa,gas_ppl,year,2030,2010
350,0.0,M1,0.0,South Africa,gas_ppl,year,2040,2010
351,0.0,M1,0.0,South Africa,gas_ppl,year,2020,2020
352,0.0,M1,0.0,South Africa,gas_ppl,year,2030,2020
353,0.0,M1,2.4131086,South Africa,gas_ppl,year,2040,2020
354,0.010290881,M1,0.0,South Africa,gas_ppl,year,2030,2030
355,0.010290881,M1,0.0,South Africa,gas_ppl,year,2040,2030
356,0.010290881,M1,0.0,South Africa,gas_ppl,year,2050,2030
357,0.0035882082,M1,0.0,South Africa,gas_ppl,year,2040,2040
358,0.0035882082,M1,0.0,South Africa,gas_ppl,year,2050,2040
359,0.0012511308,M1,0.0,South Africa,gas_ppl,year,2050,2050
360,0.0,M1,0.0,South Africa,gas_t_d,year,1990,1990
361,0.0,M1,0.0,South Africa,gas_t_d,year,1995,1990
362,0.0,M1,0.0,South Africa,gas_t_d,year,2000,1990
363,0.0,M1,0.0,South Africa,gas_t_d,year,2005,1990
364,0.0,M1,0.0,South Africa,gas_t_d,year,2010,1990
365,0.0,M1,0.0,South Africa,gas_t_d,year,2020,1990
366,0.0,M1,0.0,South Africa,gas_t_d,year,2030,1990
367,0.0,M1,0.0,South Africa,gas_t_d,year,1995,1995
368,0.0,M1,0.0,South Africa,gas_t_d,year,2000,1995
369,0.0,M1,0.0,South Africa,gas_t_d,year,2005,1995
370,0.0,M1,0.0,South Africa,gas_t_d,year,2010,1995
371,0.0,M1,0.0,South Africa,gas_t_d,year,2020,1995
372,0.0,M1,0.0,South Africa,gas_t_d,year,2030,1995
373,0.0,M1,0.0,South Africa,gas_t_d,year,2000,2000
374,0.0,M1,0.0,South Africa,gas_t_d,year,2005,2000
375,0.0,M1,0.0,South Africa,gas_t_d,year,2010,2000
376,0.0,M1,0.0,South Africa,gas_t_d,year,2020,2000
377,0.0,M1,0.0,South Africa,gas_t_d,year,2030,2000
378,0.0,M1,0.0,South Africa,gas_t_d,year,2040,2000
379,0.0,M1,0.0,South Africa,gas_t_d,year,2005,2005
380,0.0,M1,0.0,South Africa,gas_t_d,year,2010,2005
381,0.0,M1,0.0,South Africa,gas_t_d,year,2020,2005
382,0.0,M1,0.0,South Africa,gas_t_d,year,2030,2005
383,0.0,M1,0.0,South Africa,gas_t_d,year,2040,2005
384,0.0,M1,0.0,South Africa,gas_t_d,year,2010,2010
385,0.0,M1,0.0,South Africa,gas_t_d,year,2020,2010
386,0.0,M1,0.0,South Africa,gas_t_d,year,2030,2010
387,0.0,M1,0.0,South Africa,gas_t_d,year,2040,2010
388,0.0,M1,0.0,South Africa,gas_t_d,year,2050,2010
389,1.7455031,M1,0.0,South Africa,gas_t_d,year,2020,2020
390,1.0003365,M1,0.0,South Africa,gas_t_d,year,2030,2020
391,0.57481575,M1,0.0,South Africa,gas_t_d,year,2040,2020
392,0.57481575,M1,0.0,South Africa,gas_t_d,year,2050,2020
393,0.0,M1,5.344261,South Africa,gas_t_d,year,2030,2030
394,0.0,M1,0.0,South Africa,gas_t_d,year,2040,2030
395,0.0,M1,0.0,South Africa,gas_t_d,year,2050,2030
396,0.0,M1,2.6597855,South Africa,gas_t_d,year,2040,2040
397,0.0,M1,0.0,South Africa,gas_t_d,year,2050,2040
398,0.34441298,M1,0.0,South Africa,gas_t_d,year,2050,2050
399,0.0,M1,0.0,South Africa,gas_fs,year,1995,1995
400,0.0,M1,0.0,South Africa,gas_fs,year,2000,2000
401,0.0,M1,0.0,South Africa,gas_fs,year,2005,2005
402,0.0,M1,0.0,South Africa,gas_fs,year,2010,2010
403,0.0,M1,57.67881,South Africa,gas_fs,year,2020,2020
404,0.0,M1,0.0,South Africa,gas_fs,year,2030,2030
405,0.0,M1,11.965631,South Africa,gas_fs,year,2040,2040
406,0.5882315,M1,0.0,South Africa,gas_fs,year,2050,2050
407,0.0,M1,0.0,South Africa,gas_i,year,1990,1990
408,0.0,M1,0.0,South Africa,gas_i,year,1995,1990
409,0.0,M1,0.0,South Africa,gas_i,year,2000,1990
410,0.0,M1,0.0,South Africa,gas_i,year,2005,1990
411,0.0,M1,0.0,South Africa,gas_i,year,2010,1990
412,0.0,M1,0.0,South Africa,gas_i,year,1995,1995
413,0.0,M1,0.0,South Africa,gas_i,year,2000,1995
414,0.0,M1,0.0,South Africa,gas_i,year,2005,1995
415,0.0,M1,0.0,South Africa,gas_i,year,2010,1995
416,0.0,M1,0.0,South Africa,gas_i,year,2020,1995
417,0.0,M1,0.0,South Africa,gas_i,year,2000,2000
418,0.0,M1,0.0,South Africa,gas_i,year,2005,2000
